
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 31-Jan-2025 at 19:54:57.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.2500   1.1053248E+06   1.1064461E+06   1.1067710E+06   9.0822712E+05   9.0822825E+05   9.0821694E+05
    0.2550   1.1052659E+06   1.1063995E+06   1.1067416E+06   9.0818688E+05   9.0818775E+05   9.0817481E+05
    0.2600   1.1052085E+06   1.1063530E+06   1.1067108E+06   9.0814588E+05   9.0814656E+05   9.0813175E+05
    0.2650   1.1051526E+06   1.1063069E+06   1.1066784E+06   9.0810412E+05   9.0810469E+05   9.0808769E+05
    0.2700   1.1050976E+06   1.1062611E+06   1.1066449E+06   9.0806156E+05   9.0806219E+05   9.0804269E+05
    0.2750   1.1050432E+06   1.1062160E+06   1.1066104E+06   9.0801825E+05   9.0801912E+05   9.0799669E+05
    0.2800   1.1049891E+06   1.1061715E+06   1.1065752E+06   9.0797406E+05   9.0797550E+05   9.0794975E+05
    0.2850   1.1049349E+06   1.1061278E+06   1.1065395E+06   9.0792900E+05   9.0793131E+05   9.0790188E+05
    0.2900   1.1048802E+06   1.1060850E+06   1.1065036E+06   9.0788306E+05   9.0788669E+05   9.0785306E+05
    0.2950   1.1048248E+06   1.1060431E+06   1.1064676E+06   9.0783625E+05   9.0784156E+05   9.0780331E+05
    0.3000   1.1047681E+06   1.1060022E+06   1.1064320E+06   9.0778838E+05   9.0779600E+05   9.0775281E+05
    0.3050   1.1047101E+06   1.1059626E+06   1.1063968E+06   9.0773950E+05   9.0775012E+05   9.0770144E+05
    0.3100   1.1046504E+06   1.1059241E+06   1.1063621E+06   9.0768956E+05   9.0770388E+05   9.0764931E+05
    0.3150   1.1045889E+06   1.1058869E+06   1.1063284E+06   9.0763850E+05   9.0765738E+05   9.0759656E+05
    0.3200   1.1045251E+06   1.1058511E+06   1.1062955E+06   9.0758619E+05   9.0761056E+05   9.0754319E+05
    0.3250   1.1044594E+06   1.1058166E+06   1.1062638E+06   9.0753256E+05   9.0756356E+05   9.0748931E+05
    0.3300   1.1043912E+06   1.1057838E+06   1.1062331E+06   9.0747762E+05   9.0751644E+05   9.0743500E+05
    0.3350   1.1043210E+06   1.1057522E+06   1.1062036E+06   9.0742119E+05   9.0746912E+05   9.0738038E+05
    0.3400   1.1042485E+06   1.1057222E+06   1.1061751E+06   9.0736331E+05   9.0742175E+05   9.0732550E+05
    0.3450   1.1041739E+06   1.1056939E+06   1.1061476E+06   9.0730381E+05   9.0737431E+05   9.0727056E+05
    0.3500   1.1040972E+06   1.1056669E+06   1.1061211E+06   9.0724262E+05   9.0732681E+05   9.0721562E+05
    0.3550   1.1040190E+06   1.1056414E+06   1.1060952E+06   9.0717975E+05   9.0727925E+05   9.0716081E+05
    0.3600   1.1039392E+06   1.1056174E+06   1.1060700E+06   9.0711500E+05   9.0723175E+05   9.0710631E+05
    0.3650   1.1038582E+06   1.1055949E+06   1.1060450E+06   9.0704838E+05   9.0718425E+05   9.0705219E+05
    0.3700   1.1037765E+06   1.1055736E+06   1.1060201E+06   9.0697981E+05   9.0713675E+05   9.0699862E+05
    0.3750   1.1036941E+06   1.1055539E+06   1.1059950E+06   9.0690925E+05   9.0708931E+05   9.0694569E+05
    0.3800   1.1036118E+06   1.1055354E+06   1.1059694E+06   9.0683669E+05   9.0704194E+05   9.0689356E+05
    0.3850   1.1035298E+06   1.1055181E+06   1.1059429E+06   9.0676206E+05   9.0699462E+05   9.0684231E+05
    0.3900   1.1034484E+06   1.1055020E+06   1.1059152E+06   9.0668531E+05   9.0694738E+05   9.0679212E+05
    0.3950   1.1033680E+06   1.1054870E+06   1.1058862E+06   9.0660656E+05   9.0690012E+05   9.0674306E+05
    0.4000   1.1032892E+06   1.1054731E+06   1.1058555E+06   9.0652569E+05   9.0685294E+05   9.0669519E+05
    0.4050   1.1032124E+06   1.1054601E+06   1.1058226E+06   9.0644281E+05   9.0680581E+05   9.0664869E+05
    0.4100   1.1031376E+06   1.1054481E+06   1.1057875E+06   9.0635788E+05   9.0675869E+05   9.0660350E+05
    0.4150   1.1030654E+06   1.1054369E+06   1.1057498E+06   9.0627106E+05   9.0671156E+05   9.0655981E+05
    0.4200   1.1029960E+06   1.1054265E+06   1.1057092E+06   9.0618231E+05   9.0666438E+05   9.0651762E+05
    0.4250   1.1029296E+06   1.1054168E+06   1.1056658E+06   9.0609181E+05   9.0661719E+05   9.0647694E+05
    0.4300   1.1028666E+06   1.1054078E+06   1.1056190E+06   9.0599962E+05   9.0656994E+05   9.0643775E+05
    0.4350   1.1028069E+06   1.1053992E+06   1.1055691E+06   9.0590581E+05   9.0652262E+05   9.0640019E+05
    0.4400   1.1027505E+06   1.1053915E+06   1.1055159E+06   9.0581056E+05   9.0647525E+05   9.0636412E+05
    0.4450   1.1026978E+06   1.1053842E+06   1.1054592E+06   9.0571400E+05   9.0642775E+05   9.0632956E+05
    0.4500   1.1026484E+06   1.1053776E+06   1.1053991E+06   9.0561625E+05   9.0638006E+05   9.0629644E+05
    0.4550   1.1026024E+06   1.1053714E+06   1.1053359E+06   9.0551744E+05   9.0633231E+05   9.0626481E+05
    0.4600   1.1025598E+06   1.1053658E+06   1.1052691E+06   9.0541775E+05   9.0628438E+05   9.0623444E+05
    0.4650   1.1025202E+06   1.1053606E+06   1.1051994E+06   9.0531731E+05   9.0623625E+05   9.0620538E+05
    0.4700   1.1024835E+06   1.1053561E+06   1.1051265E+06   9.0521625E+05   9.0618800E+05   9.0617756E+05
    0.4750   1.1024495E+06   1.1053521E+06   1.1050508E+06   9.0511481E+05   9.0613956E+05   9.0615075E+05
    0.4800   1.1024179E+06   1.1053489E+06   1.1049722E+06   9.0501306E+05   9.0609094E+05   9.0612500E+05
    0.4850   1.1023882E+06   1.1053461E+06   1.1048914E+06   9.0491119E+05   9.0604219E+05   9.0610012E+05
    0.4900   1.1023604E+06   1.1053442E+06   1.1048081E+06   9.0480931E+05   9.0599331E+05   9.0607606E+05
    0.4950   1.1023339E+06   1.1053431E+06   1.1047228E+06   9.0470756E+05   9.0594431E+05   9.0605275E+05
    0.5000   1.1023084E+06   1.1053428E+06   1.1046355E+06   9.0460600E+05   9.0589519E+05   9.0602994E+05
    0.5050   1.1022835E+06   1.1053434E+06   1.1045466E+06   9.0450481E+05   9.0584600E+05   9.0600769E+05
    0.5100   1.1022590E+06   1.1053451E+06   1.1044562E+06   9.0440400E+05   9.0579681E+05   9.0598575E+05
    0.5150   1.1022344E+06   1.1053479E+06   1.1043646E+06   9.0430375E+05   9.0574762E+05   9.0596419E+05
    0.5200   1.1022094E+06   1.1053519E+06   1.1042719E+06   9.0420400E+05   9.0569850E+05   9.0594281E+05
    0.5250   1.1021838E+06   1.1053571E+06   1.1041782E+06   9.0410488E+05   9.0564944E+05   9.0592156E+05
    0.5300   1.1021571E+06   1.1053638E+06   1.1040838E+06   9.0400631E+05   9.0560062E+05   9.0590044E+05
    0.5350   1.1021294E+06   1.1053718E+06   1.1039885E+06   9.0390844E+05   9.0555200E+05   9.0587925E+05
    0.5400   1.1021000E+06   1.1053815E+06   1.1038926E+06   9.0381119E+05   9.0550369E+05   9.0585800E+05
    0.5450   1.1020690E+06   1.1053928E+06   1.1037961E+06   9.0371456E+05   9.0545569E+05   9.0583669E+05
    0.5500   1.1020361E+06   1.1054058E+06   1.1036991E+06   9.0361850E+05   9.0540819E+05   9.0581519E+05
    0.5550   1.1020014E+06   1.1054206E+06   1.1036016E+06   9.0352294E+05   9.0536125E+05   9.0579356E+05
