
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 30-Sep-2024 at 16:57:35.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.2500   1.1048535E+06   1.1138839E+06   1.1063832E+06   9.0822950E+05   9.0852362E+05   9.0821950E+05
    0.2550   1.1047672E+06   1.1139950E+06   1.1063379E+06   9.0818944E+05   9.0853412E+05   9.0817756E+05
    0.2600   1.1046815E+06   1.1141065E+06   1.1062908E+06   9.0814856E+05   9.0855006E+05   9.0813469E+05
    0.2650   1.1045962E+06   1.1142185E+06   1.1062424E+06   9.0810681E+05   9.0857181E+05   9.0809075E+05
    0.2700   1.1045111E+06   1.1143312E+06   1.1061925E+06   9.0806425E+05   9.0859962E+05   9.0804581E+05
    0.2750   1.1044258E+06   1.1144445E+06   1.1061415E+06   9.0802081E+05   9.0863381E+05   9.0799988E+05
    0.2800   1.1043400E+06   1.1145585E+06   1.1060896E+06   9.0797638E+05   9.0867462E+05   9.0795288E+05
    0.2850   1.1042535E+06   1.1146735E+06   1.1060368E+06   9.0793094E+05   9.0872225E+05   9.0790481E+05
    0.2900   1.1041661E+06   1.1147892E+06   1.1059834E+06   9.0788450E+05   9.0877694E+05   9.0785569E+05
    0.2950   1.1040774E+06   1.1149060E+06   1.1059294E+06   9.0783688E+05   9.0883881E+05   9.0780556E+05
    0.3000   1.1039874E+06   1.1150239E+06   1.1058750E+06   9.0778812E+05   9.0890800E+05   9.0775444E+05
    0.3050   1.1038956E+06   1.1151428E+06   1.1058205E+06   9.0773806E+05   9.0898456E+05   9.0770231E+05
    0.3100   1.1038021E+06   1.1152629E+06   1.1057658E+06   9.0768662E+05   9.0906850E+05   9.0764919E+05
    0.3150   1.1037068E+06   1.1153844E+06   1.1057109E+06   9.0763375E+05   9.0915981E+05   9.0759519E+05
    0.3200   1.1036094E+06   1.1155070E+06   1.1056560E+06   9.0757931E+05   9.0925844E+05   9.0754031E+05
    0.3250   1.1035099E+06   1.1156311E+06   1.1056011E+06   9.0752331E+05   9.0936438E+05   9.0748456E+05
    0.3300   1.1034085E+06   1.1157566E+06   1.1055462E+06   9.0746550E+05   9.0947744E+05   9.0742812E+05
    0.3350   1.1033051E+06   1.1158836E+06   1.1054911E+06   9.0740581E+05   9.0959750E+05   9.0737106E+05
    0.3400   1.1031998E+06   1.1160120E+06   1.1054359E+06   9.0734419E+05   9.0972444E+05   9.0731331E+05
    0.3450   1.1030928E+06   1.1161419E+06   1.1053804E+06   9.0728050E+05   9.0985800E+05   9.0725512E+05
    0.3500   1.1029841E+06   1.1162734E+06   1.1053242E+06   9.0721469E+05   9.0999800E+05   9.0719644E+05
    0.3550   1.1028741E+06   1.1164064E+06   1.1052676E+06   9.0714656E+05   9.1014419E+05   9.0713750E+05
    0.3600   1.1027631E+06   1.1165408E+06   1.1052100E+06   9.0707606E+05   9.1029631E+05   9.0707838E+05
    0.3650   1.1026512E+06   1.1166768E+06   1.1051514E+06   9.0700306E+05   9.1045412E+05   9.0701906E+05
    0.3700   1.1025389E+06   1.1168141E+06   1.1050915E+06   9.0692756E+05   9.1061738E+05   9.0695975E+05
    0.3750   1.1024262E+06   1.1169530E+06   1.1050300E+06   9.0684944E+05   9.1078575E+05   9.0690056E+05
    0.3800   1.1023138E+06   1.1170932E+06   1.1049666E+06   9.0676862E+05   9.1095900E+05   9.0684156E+05
    0.3850   1.1022018E+06   1.1172349E+06   1.1049012E+06   9.0668512E+05   9.1113688E+05   9.0678288E+05
    0.3900   1.1020905E+06   1.1173779E+06   1.1048336E+06   9.0659881E+05   9.1131894E+05   9.0672456E+05
    0.3950   1.1019802E+06   1.1175220E+06   1.1047634E+06   9.0650969E+05   9.1150512E+05   9.0666675E+05
    0.4000   1.1018718E+06   1.1176671E+06   1.1046905E+06   9.0641775E+05   9.1169494E+05   9.0660944E+05
    0.4050   1.1017646E+06   1.1178139E+06   1.1046145E+06   9.0632306E+05   9.1188831E+05   9.0655281E+05
    0.4100   1.1016595E+06   1.1179618E+06   1.1045352E+06   9.0622556E+05   9.1208481E+05   9.0649688E+05
    0.4150   1.1015565E+06   1.1181108E+06   1.1044526E+06   9.0612531E+05   9.1228425E+05   9.0644162E+05
    0.4200   1.1014558E+06   1.1182611E+06   1.1043665E+06   9.0602231E+05   9.1248644E+05   9.0638719E+05
    0.4250   1.1013574E+06   1.1184126E+06   1.1042768E+06   9.0591669E+05   9.1269106E+05   9.0633356E+05
    0.4300   1.1012616E+06   1.1185652E+06   1.1041832E+06   9.0580850E+05   9.1289788E+05   9.0628075E+05
    0.4350   1.1011684E+06   1.1187192E+06   1.1040860E+06   9.0569781E+05   9.1310675E+05   9.0622869E+05
    0.4400   1.1010779E+06   1.1188745E+06   1.1039850E+06   9.0558475E+05   9.1331744E+05   9.0617750E+05
    0.4450   1.1009898E+06   1.1190310E+06   1.1038802E+06   9.0546938E+05   9.1352975E+05   9.0612706E+05
    0.4500   1.1009041E+06   1.1191895E+06   1.1037716E+06   9.0535188E+05   9.1374350E+05   9.0607744E+05
    0.4550   1.1008210E+06   1.1193488E+06   1.1036596E+06   9.0523231E+05   9.1395850E+05   9.0602844E+05
    0.4600   1.1007400E+06   1.1195098E+06   1.1035441E+06   9.0511081E+05   9.1417469E+05   9.0598012E+05
    0.4650   1.1006611E+06   1.1196722E+06   1.1034255E+06   9.0498750E+05   9.1439188E+05   9.0593231E+05
    0.4700   1.1005841E+06   1.1198365E+06   1.1033036E+06   9.0486256E+05   9.1460988E+05   9.0588506E+05
    0.4750   1.1005088E+06   1.1200024E+06   1.1031789E+06   9.0473606E+05   9.1482869E+05   9.0583819E+05
    0.4800   1.1004348E+06   1.1201701E+06   1.1030515E+06   9.0460819E+05   9.1504812E+05   9.0579169E+05
    0.4850   1.1003619E+06   1.1203400E+06   1.1029215E+06   9.0447900E+05   9.1526819E+05   9.0574538E+05
    0.4900   1.1002898E+06   1.1205120E+06   1.1027892E+06   9.0434869E+05   9.1548869E+05   9.0569925E+05
    0.4950   1.1002180E+06   1.1206864E+06   1.1026550E+06   9.0421731E+05   9.1570969E+05   9.0565312E+05
    0.5000   1.1001466E+06   1.1208631E+06   1.1025189E+06   9.0408500E+05   9.1593106E+05   9.0560700E+05
    0.5050   1.1000750E+06   1.1210428E+06   1.1023810E+06   9.0395181E+05   9.1615275E+05   9.0556069E+05
    0.5100   1.1000030E+06   1.1212251E+06   1.1022416E+06   9.0381788E+05   9.1637475E+05   9.0551412E+05
    0.5150   1.0999304E+06   1.1214108E+06   1.1021010E+06   9.0368325E+05   9.1659706E+05   9.0546725E+05
    0.5200   1.0998569E+06   1.1215995E+06   1.1019594E+06   9.0354794E+05   9.1681969E+05   9.0541994E+05
    0.5250   1.0997820E+06   1.1217921E+06   1.1018165E+06   9.0341212E+05   9.1704262E+05   9.0537206E+05
    0.5300   1.0997058E+06   1.1219884E+06   1.1016726E+06   9.0327569E+05   9.1726581E+05   9.0532362E+05
    0.5350   1.0996279E+06   1.1221889E+06   1.1015279E+06   9.0313881E+05   9.1748931E+05   9.0527450E+05
    0.5400   1.0995480E+06   1.1223936E+06   1.1013822E+06   9.0300138E+05   9.1771319E+05   9.0522462E+05
    0.5450   1.0994661E+06   1.1226035E+06   1.1012355E+06   9.0286350E+05   9.1793744E+05   9.0517394E+05
    0.5500   1.0993821E+06   1.1228176E+06   1.1010881E+06   9.0272512E+05   9.1816206E+05   9.0512238E+05
    0.5550   1.0992959E+06   1.1230371E+06   1.1009398E+06   9.0258625E+05   9.1838719E+05   9.0506981E+05
    0.5600   1.0992074E+06   1.1232618E+06   1.1007904E+06   9.0244688E+05   9.1861275E+05   9.0501625E+05
    0.5650   1.0991165E+06   1.1234919E+06   1.1006400E+06   9.0230694E+05   9.1883888E+05   9.0496162E+05
    0.5700   1.0990232E+06   1.1237278E+06   1.1004885E+06   9.0216650E+05   9.1906556E+05   9.0490588E+05
    0.5750   1.0989276E+06   1.1239694E+06   1.1003358E+06   9.0202550E+05   9.1929294E+05   9.0484894E+05
    0.5800   1.0988295E+06   1.1242170E+06   1.1001816E+06   9.0188394E+05   9.1952100E+05   9.0479081E+05
    0.5850   1.0987291E+06   1.1244709E+06   1.1000262E+06   9.0174175E+05   9.1974981E+05   9.0473131E+05
    0.5900   1.0986264E+06   1.1247310E+06   1.0998692E+06   9.0159894E+05   9.1997944E+05   9.0467050E+05
    0.5950   1.0985214E+06   1.1249976E+06   1.0997106E+06   9.0145556E+05   9.2020994E+05   9.0460825E+05
    0.6000   1.0984141E+06   1.1252708E+06   1.0995502E+06   9.0131150E+05   9.2044138E+05   9.0454450E+05
    0.6050   1.0983045E+06   1.1255505E+06   1.0993881E+06   9.0116688E+05   9.2067381E+05   9.0447919E+05
    0.6100   1.0981928E+06   1.1258369E+06   1.0992240E+06   9.0102169E+05   9.2090725E+05   9.0441225E+05
    0.6150   1.0980789E+06   1.1261300E+06   1.0990580E+06   9.0087588E+05   9.2114175E+05   9.0434362E+05
    0.6200   1.0979626E+06   1.1264299E+06   1.0988900E+06   9.0072956E+05   9.2137744E+05   9.0427312E+05
    0.6250   1.0978444E+06   1.1267365E+06   1.0987200E+06   9.0058275E+05   9.2161425E+05   9.0420081E+05
    0.6300   1.0977239E+06   1.1270498E+06   1.0985481E+06   9.0043550E+05   9.2185231E+05   9.0412644E+05
    0.6350   1.0976012E+06   1.1273698E+06   1.0983742E+06   9.0028788E+05   9.2209162E+05   9.0404994E+05
    0.6400   1.0974764E+06   1.1276961E+06   1.0981986E+06   9.0014000E+05   9.2233219E+05   9.0397125E+05
    0.6450   1.0973491E+06   1.1280291E+06   1.0980212E+06   8.9999194E+05   9.2257412E+05   9.0389025E+05
    0.6500   1.0972198E+06   1.1283684E+06   1.0978422E+06   8.9984381E+05   9.2281738E+05   9.0380681E+05
    0.6550   1.0970879E+06   1.1287139E+06   1.0976619E+06   8.9969569E+05   9.2306206E+05   9.0372075E+05
    0.6600   1.0969535E+06   1.1290655E+06   1.0974801E+06   8.9954769E+05   9.2330812E+05   9.0363206E+05
    0.6650   1.0968166E+06   1.1294229E+06   1.0972974E+06   8.9939994E+05   9.2355556E+05   9.0354050E+05
    0.6700   1.0966771E+06   1.1297861E+06   1.0971136E+06   8.9925256E+05   9.2380450E+05   9.0344600E+05
    0.6750   1.0965348E+06   1.1301549E+06   1.0969291E+06   8.9910569E+05   9.2405488E+05   9.0334844E+05
    0.6800   1.0963895E+06   1.1305291E+06   1.0967441E+06   8.9895944E+05   9.2430675E+05   9.0324775E+05
    0.6850   1.0962414E+06   1.1309085E+06   1.0965588E+06   8.9881394E+05   9.2456006E+05   9.0314369E+05
    0.6900   1.0960901E+06   1.1312929E+06   1.0963732E+06   8.9866938E+05   9.2481494E+05   9.0303625E+05
    0.6950   1.0959356E+06   1.1316820E+06   1.0961879E+06   8.9852575E+05   9.2507131E+05   9.0292531E+05
    0.7000   1.0957779E+06   1.1320758E+06   1.0960026E+06   8.9838319E+05   9.2532925E+05   9.0281069E+05
    0.7050   1.0956169E+06   1.1324739E+06   1.0958178E+06   8.9824188E+05   9.2558875E+05   9.0269244E+05
    0.7100   1.0954525E+06   1.1328760E+06   1.0956334E+06   8.9810188E+05   9.2584981E+05   9.0257038E+05
    0.7150   1.0952846E+06   1.1332822E+06   1.0954496E+06   8.9796325E+05   9.2611250E+05   9.0244450E+05
    0.7200   1.0951132E+06   1.1336921E+06   1.0952668E+06   8.9782606E+05   9.2637681E+05   9.0231469E+05
    0.7250   1.0949385E+06   1.1341058E+06   1.0950845E+06   8.9769038E+05   9.2664281E+05   9.0218088E+05
    0.7300   1.0947602E+06   1.1345228E+06   1.0949032E+06   8.9755625E+05   9.2691050E+05   9.0204319E+05
    0.7350   1.0945786E+06   1.1349430E+06   1.0947228E+06   8.9742362E+05   9.2717994E+05   9.0190144E+05
    0.7400   1.0943936E+06   1.1353664E+06   1.0945431E+06   8.9729269E+05   9.2745112E+05   9.0175562E+05
    0.7450   1.0942052E+06   1.1357928E+06   1.0943644E+06   8.9716325E+05   9.2772412E+05   9.0160588E+05
    0.7500   1.0940136E+06   1.1362219E+06   1.0941864E+06   8.9703544E+05   9.2799906E+05   9.0145206E+05
    0.7550   1.0938189E+06   1.1366538E+06   1.0940090E+06   8.9690906E+05   9.2827594E+05   9.0129431E+05
    0.7600   1.0936210E+06   1.1370882E+06   1.0938322E+06   8.9678419E+05   9.2855481E+05   9.0113262E+05
    0.7650   1.0934202E+06   1.1375252E+06   1.0936559E+06   8.9666075E+05   9.2883581E+05   9.0096700E+05
    0.7700   1.0932166E+06   1.1379646E+06   1.0934798E+06   8.9653862E+05   9.2911900E+05   9.0079756E+05
    0.7750   1.0930104E+06   1.1384064E+06   1.0933039E+06   8.9641769E+05   9.2940450E+05   9.0062438E+05
    0.7800   1.0928015E+06   1.1388502E+06   1.0931280E+06   8.9629788E+05   9.2969231E+05   9.0044744E+05
    0.7850   1.0925902E+06   1.1392964E+06   1.0929519E+06   8.9617912E+05   9.2998262E+05   9.0026688E+05
    0.7900   1.0923766E+06   1.1397446E+06   1.0927755E+06   8.9606125E+05   9.3027550E+05   9.0008269E+05
    0.7950   1.0921609E+06   1.1401950E+06   1.0925988E+06   8.9594406E+05   9.3057112E+05   8.9989512E+05
    0.8000   1.0919430E+06   1.1406472E+06   1.0924212E+06   8.9582750E+05   9.3086956E+05   8.9970406E+05
    0.8050   1.0917231E+06   1.1411015E+06   1.0922430E+06   8.9571144E+05   9.3117094E+05   8.9950975E+05
    0.8100   1.0915014E+06   1.1415578E+06   1.0920639E+06   8.9559569E+05   9.3147538E+05   8.9931219E+05
    0.8150   1.0912778E+06   1.1420159E+06   1.0918836E+06   8.9548006E+05   9.3178300E+05   8.9911144E+05
    0.8200   1.0910524E+06   1.1424759E+06   1.0917022E+06   8.9536444E+05   9.3209406E+05   8.9890769E+05
    0.8250   1.0908251E+06   1.1429376E+06   1.0915198E+06   8.9524862E+05   9.3240856E+05   8.9870094E+05
    0.8300   1.0905962E+06   1.1434012E+06   1.0913359E+06   8.9513256E+05   9.3272669E+05   8.9849131E+05
    0.8350   1.0903659E+06   1.1438666E+06   1.0911508E+06   8.9501600E+05   9.3304856E+05   8.9827888E+05
    0.8400   1.0901336E+06   1.1443338E+06   1.0909641E+06   8.9489881E+05   9.3337438E+05   8.9806362E+05
    0.8450   1.0898998E+06   1.1448026E+06   1.0907761E+06   8.9478088E+05   9.3370425E+05   8.9784575E+05
    0.8500   1.0896640E+06   1.1452731E+06   1.0905868E+06   8.9466200E+05   9.3403831E+05   8.9762531E+05
    0.8550   1.0894266E+06   1.1457454E+06   1.0903960E+06   8.9454212E+05   9.3437669E+05   8.9740231E+05
    0.8600   1.0891876E+06   1.1462191E+06   1.0902038E+06   8.9442100E+05   9.3471950E+05   8.9717688E+05
    0.8650   1.0889468E+06   1.1466945E+06   1.0900101E+06   8.9429856E+05   9.3506688E+05   8.9694900E+05
    0.8700   1.0887040E+06   1.1471714E+06   1.0898151E+06   8.9417475E+05   9.3541894E+05   8.9671875E+05
    0.8750   1.0884596E+06   1.1476498E+06   1.0896188E+06   8.9404931E+05   9.3577575E+05   8.9648631E+05
    0.8800   1.0882134E+06   1.1481295E+06   1.0894211E+06   8.9392219E+05   9.3613750E+05   8.9625156E+05
    0.8850   1.0879652E+06   1.1486108E+06   1.0892221E+06   8.9379325E+05   9.3650431E+05   8.9601469E+05
